0,1,2,3,4,5
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
0.0,23.0,0.0,1.0,1.0,0.0
